date,pm10,pm2_5,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres
2024-10-24,31.5,14.22,4.38,0.92,9.12,3.76,0.79,39.43,11.02,20.38,1023.94
2024-10-25,24.32,15.61,5.73,2.19,8.81,0.0,0.0,352.1,9.1,12.66,1018.56
2024-10-26,26.82,17.94,3.25,0.31,7.12,0.0,0.0,147.17,13.06,15.96,1010.24
2024-10-27,28.49,13.01,2.22,-2.05,5.36,1.7,0.1,255.69,10.64,15.71,1006.12
2024-10-28,20.29,15.61,7.21,3.27,9.89,0.0,0.07,344.97,8.61,10.63,1021.81
2024-10-29,45.33,14.06,6.1,1.31,9.03,1.33,0.53,239.05,13.41,16.46,1010.63
2024-10-30,22.55,9.59,5.19,1.01,9.98,0.0,0.0,346.13,12.59,18.49,1017.64
2024-10-31,6.39,11.01,5.88,2.36,9.41,0.0,0.0,96.96,8.36,16.45,1016.58
2024-11-01,22.18,5.9,7.17,4.21,9.62,0.0,0.0,83.02,10.63,15.68,1020.01
2024-11-02,30.93,22.13,9.32,7.13,13.9,0.32,0.0,65.19,10.63,19.15,1012.86
2024-11-03,27.94,9.19,5.07,0.61,9.0,3.8,0.0,7.92,6.49,13.12,1012.66
2024-11-04,24.03,12.88,7.47,5.12,11.43,0.0,0.0,318.37,10.24,16.02,1002.01
2024-11-05,29.71,2.26,6.06,3.81,9.48,3.0,0.0,101.13,12.03,15.37,1010.52
2024-11-06,29.54,12.35,3.87,0.5,6.9,6.18,0.0,254.84,12.56,16.25,1004.47
2024-11-07,24.68,13.35,8.46,4.49,10.89,0.0,0.0,176.16,9.38,11.75,1010.14
2024-11-08,23.37,10.66,7.31,3.4,12.25,0.0,0.0,235.15,5.23,7.0,1022.14
2024-11-09,8.66,16.18,7.28,3.97,9.48,0.0,0.0,287.82,12.5,21.55,1014.98
2024-11-10,23.44,21.76,6.64,4.16,10.42,1.24,0.0,298.61,9.2,11.66,1019.85
2024-11-11,29.02,10.8,8.14,5.88,13.02,0.39,0.0,279.43,9.69,12.03,998.29
2024-11-12,26.12,3.06,8.01,3.61,10.69,0.7,0.0,297.47,12.13,14.81,1012.59
2024-11-13,26.85,15.42,10.66,6.07,14.02,0.09,0.0,104.56,6.41,9.57,1009.5
2024-11-14,20.53,13.91,11.17,7.12,14.11,0.0,0.0,333.61,12.18,18.62,1016.34
2024-11-15,19.37,6.27,7.23,3.35,9.31,0.0,0.0,82.07,8.07,10.6,1018.62
2024-11-16,35.61,13.01,11.07,8.04,13.91,1.89,0.0,18.27,7.22,13.94,1015.41
2024-11-17,27.83,13.45,11.7,8.65,13.93,0.22,0.01,75.56,14.66,16.57,1005.08
2024-11-18,20.92,15.05,8.3,4.43,12.35,1.27,0.63,37.45,6.82,11.5,1007.89
2024-11-19,34.82,20.07,12.01,7.41,16.01,2.73,0.0,113.87,12.84,14.3,1012.32
2024-11-20,15.94,14.79,11.79,7.16,14.0,0.0,0.0,252.33,10.9,11.83,1022.63
2024-11-21,30.8,15.11,9.11,5.96,14.05,3.31,0.0,346.37,9.95,11.74,1024.84
2024-11-22,46.96,11.22,11.2,8.62,14.11,4.57,0.12,80.6,6.71,8.31,1011.62
2024-11-23,25.52,9.57,10.9,7.04,14.24,0.39,0.0,356.29,9.21,15.23,1002.42
2024-11-24,28.71,13.03,9.84,6.41,12.48,0.5,0.0,3.97,9.17,12.05,1020.91
2024-11-25,27.04,10.86,8.04,5.13,12.48,1.69,0.0,98.32,9.47,13.31,1022.47
2024-11-26,33.72,14.06,10.33,7.76,12.85,0.18,0.0,334.04,6.82,12.31,1023.08
2024-11-27,23.65,11.13,7.96,5.11,11.77,1.22,0.0,306.81,8.88,12.18,1009.84
2024-11-28,26.89,18.99,9.16,6.84,13.79,1.4,0.0,168.51,3.06,7.78,1024.2
2024-11-29,24.78,14.18,8.51,5.83,12.73,0.0,0.0,143.78,10.98,17.15,1002.02
2024-11-30,24.73,18.26,10.03,5.63,14.42,5.19,0.0,22.74,11.82,16.12,1011.45
2024-12-01,26.61,6.47,7.07,4.54,10.36,0.0,0.0,306.76,9.17,14.16,1027.98
2024-12-02,26.01,5.87,5.71,3.18,8.35,0.0,0.0,72.54,8.36,9.85,992.04
2024-12-03,14.15,2.71,10.17,8.15,14.54,0.0,0.0,142.59,11.24,19.98,1001.96
